NACA Airfoil Coordinates (Max Camber: 2%, Position: 40%, Thickness: 12%)
   X         Y
1.000000   -0.000000
0.999618   0.000082
0.998474   0.000326
0.996567   0.000732
0.993903   0.001298
0.990483   0.002020
0.986314   0.002896
0.981401   0.003922
0.975752   0.005092
0.969374   0.006402
0.962276   0.007845
0.954470   0.009415
0.945966   0.011105
0.936777   0.012907
0.926917   0.014814
0.916399   0.016818
0.905240   0.018910
0.893456   0.021082
0.881064   0.023324
0.868083   0.025628
0.854532   0.027985
0.840431   0.030386
0.825802   0.032822
0.810666   0.035283
0.795047   0.037760
0.778968   0.040244
0.762452   0.042726
0.745527   0.045197
0.728216   0.047648
0.710546   0.050070
0.692545   0.052453
0.674240   0.054790
0.655659   0.057071
0.636830   0.059288
0.617783   0.061432
0.598547   0.063495
0.579153   0.065468
0.559629   0.067344
0.540006   0.069113
0.520315   0.070769
0.500587   0.072303
0.480853   0.073708
0.461143   0.074977
0.441489   0.076104
0.421921   0.077082
0.402471   0.077904
0.383032   0.078547
0.363752   0.078973
0.344680   0.079180
0.325849   0.079166
0.307289   0.078930
0.289031   0.078473
0.271106   0.077795
0.253543   0.076900
0.236371   0.075790
0.219618   0.074470
0.203313   0.072945
0.187482   0.071222
0.172151   0.069308
0.157345   0.067211
0.143089   0.064940
0.129404   0.062506
0.116313   0.059917
0.103837   0.057187
0.091996   0.054325
0.080807   0.051345
0.070289   0.048257
0.060456   0.045074
0.051324   0.041808
0.042906   0.038472
0.035214   0.035076
0.028260   0.031633
0.022051   0.028152
0.016598   0.024645
0.011907   0.021120
0.007984   0.017585
0.004833   0.014049
0.002457   0.010518
0.000860   0.006997
0.000041   0.003490
0.000000   0.000000
0.000730   -0.003413
0.002223   -0.006689
0.004474   -0.009828
0.007479   -0.012828
0.011231   -0.015687
0.015723   -0.018404
0.020946   -0.020978
0.026892   -0.023408
0.033549   -0.025691
0.040906   -0.027826
0.048951   -0.029813
0.057669   -0.031651
0.067048   -0.033340
0.077071   -0.034878
0.087723   -0.036267
0.098987   -0.037507
0.110846   -0.038599
0.123281   -0.039546
0.136274   -0.040349
0.149805   -0.041012
0.163854   -0.041539
0.178401   -0.041933
0.193424   -0.042199
0.208902   -0.042343
0.224811   -0.042372
0.241131   -0.042290
0.257836   -0.042106
0.274904   -0.041827
0.292309   -0.041461
0.310028   -0.041016
0.328034   -0.040500
0.346303   -0.039923
0.364808   -0.039292
0.383522   -0.038617
0.402439   -0.037905
0.421645   -0.037134
0.440974   -0.036293
0.460398   -0.035388
0.479887   -0.034426
0.499413   -0.033414
0.518945   -0.032359
0.538453   -0.031267
0.557909   -0.030144
0.577282   -0.028997
0.596543   -0.027831
0.615662   -0.026651
0.634610   -0.025462
0.653358   -0.024269
0.671877   -0.023075
0.690139   -0.021884
0.708114   -0.020701
0.725775   -0.019529
0.743095   -0.018369
0.760046   -0.017226
0.776603   -0.016102
0.792738   -0.014999
0.808427   -0.013919
0.823646   -0.012865
0.838370   -0.011839
0.852575   -0.010842
0.866240   -0.009877
0.879342   -0.008946
0.891861   -0.008050
0.903777   -0.007191
0.915070   -0.006372
0.925723   -0.005594
0.935719   -0.004859
0.945040   -0.004169
0.953673   -0.003526
0.961603   -0.002931
0.968818   -0.002388
0.975305   -0.001896
0.981054   -0.001458
0.986056   -0.001076
0.990302   -0.000749
0.993785   -0.000481
0.996501   -0.000271
0.998444   -0.000121
0.999611   -0.000030
1.000000   0.000000
